slug,name,date,weekday,courts,data_ok,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
top-padel-club-budapest,Top Padel Club ,2026-09-11,Friday,7,True,100.0,100.0,100.0,87.5,0.0,87.5,0.0,35.0,0.0
premier-padel-park,Premier Padel Park,2026-09-11,Friday,4,True,84.0,84.0,85.0,50.0,8.0,50.0,8.0,20.0,3.0
grand-slam-padel,Grand Slam Padel,2026-09-11,Friday,3,True,69.6,69.6,100.0,34.5,10.5,34.5,10.5,15.0,0.0
buda-padel,BUDAPADEL,2026-09-11,Friday,4,True,63.0,68.0,97.5,54.0,20.0,50.0,16.0,20.0,0.5
flow-padel-ujpest,Flow Padel Újpest,2026-09-11,Friday,4,True,58.7,58.7,57.5,46.0,19.0,46.0,19.0,20.0,8.5
duna-padel,DUNA PADEL,2026-09-11,Friday,4,True,56.0,56.0,57.5,50.0,22.0,50.0,22.0,20.0,8.5
panorama-padel-budapest,Panorama Padel Budapest,2026-09-11,Friday,1,True,48.0,48.0,100.0,12.5,6.5,12.5,6.5,5.0,0.0
premier-padel-nagyret,Premier Padel Nagyret,2026-09-11,Friday,4,True,46.7,46.7,67.5,46.0,24.5,46.0,24.5,20.0,6.5
future-padel-fot,Future Padel Fót,2026-09-11,Friday,1,True,40.0,40.0,60.0,12.5,7.5,12.5,7.5,5.0,2.0
padel-king-savoya,Padel King Savoya,2026-09-11,Friday,6,True,38.0,38.0,63.3,75.0,46.5,75.0,46.5,30.0,11.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-11,Friday,4,True,32.4,35.0,27.5,54.0,36.5,50.0,32.5,20.0,14.5
budapest-padel,Budapest Padel,2026-09-11,Friday,8,True,32.5,32.5,51.2,100.0,67.5,100.0,67.5,40.0,19.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-11,Friday,4,True,30.4,30.4,55.0,46.0,32.0,46.0,32.0,20.0,9.0
padel-garden-budapest,Padel Garden Budapest,2026-09-11,Friday,3,True,18.1,18.1,10.0,36.0,29.5,36.0,29.5,15.0,13.5
zenith-padel-club,Zenith Padel Club,2026-09-11,Friday,3,True,17.3,17.3,0.0,37.5,31.0,37.5,31.0,15.0,15.0
new-padel-club,New Padel Club,2026-09-11,Friday,2,True,7.7,8.0,20.0,26.0,24.0,25.0,23.0,10.0,8.0
padel-bros-budapest,Padel Bros Budapest,2026-09-11,Friday,3,False,,,,40.5,0.0,37.5,0.0,15.0,0.0
musketas-padel,Musketas Padel ,2026-09-11,Friday,2,False,,,,27.0,0.0,25.0,0.0,10.0,0.0
top-padel-club-budapest,Top Padel Club ,2026-09-12,Saturday,7,True,100.0,100.0,100.0,98.0,0.0,98.0,0.0,35.0,0.0
buda-padel,BUDAPADEL,2026-09-12,Saturday,4,True,38.5,57.8,85.0,96.0,59.0,64.0,27.0,20.0,3.0
future-padel-fot,Future Padel Fót,2026-09-12,Saturday,1,True,43.8,43.8,0.0,16.0,9.0,16.0,9.0,5.0,5.0
premier-padel-park,Premier Padel Park,2026-09-12,Saturday,4,True,43.0,43.0,27.5,64.0,36.5,64.0,36.5,20.0,14.5
flow-padel-ujpest,Flow Padel Újpest,2026-09-12,Saturday,4,True,35.8,35.8,2.5,60.0,38.5,60.0,38.5,20.0,19.5
duna-padel,DUNA PADEL,2026-09-12,Saturday,4,True,34.4,34.4,50.0,64.0,42.0,64.0,42.0,20.0,10.0
premier-padel-nagyret,Premier Padel Nagyret,2026-09-12,Saturday,4,True,33.9,33.9,0.0,56.0,37.0,56.0,37.0,20.0,20.0
new-padel-club,New Padel Club,2026-09-12,Saturday,2,True,17.0,25.0,20.0,47.0,39.0,32.0,24.0,10.0,8.0
panorama-padel-budapest,Panorama Padel Budapest,2026-09-12,Saturday,1,True,29.4,25.0,40.0,17.0,12.0,16.0,12.0,5.0,3.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-12,Saturday,4,True,22.4,22.4,2.5,58.0,45.0,58.0,45.0,20.0,19.5
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-12,Saturday,4,True,18.4,20.3,12.5,76.0,62.0,64.0,51.0,20.0,17.5
zenith-padel-club,Zenith Padel Club,2026-09-12,Saturday,3,True,16.7,17.7,0.0,51.0,42.5,48.0,39.5,15.0,15.0
padel-king-savoya,Padel King Savoya,2026-09-12,Saturday,6,True,15.6,15.6,10.0,96.0,81.0,96.0,81.0,30.0,27.0
budapest-padel,Budapest Padel,2026-09-12,Saturday,8,True,11.3,11.3,0.0,120.0,106.5,120.0,106.5,40.0,40.0
padel-garden-budapest,Padel Garden Budapest,2026-09-12,Saturday,3,True,9.9,9.9,0.0,40.5,36.5,40.5,36.5,15.0,15.0
padel-bros-budapest,Padel Bros Budapest,2026-09-12,Saturday,3,False,,,,72.0,0.0,48.0,0.0,15.0,0.0
grand-slam-padel,Grand Slam Padel,2026-09-12,Saturday,3,True,0.0,0.0,0.0,42.0,42.0,42.0,42.0,15.0,15.0
musketas-padel,Musketas Padel ,2026-09-12,Saturday,2,False,,,,48.0,0.0,32.0,0.0,10.0,0.0
top-padel-club-budapest,Top Padel Club ,2026-09-13,Sunday,7,True,100.0,100.0,100.0,98.0,0.0,98.0,0.0,35.0,0.0
grand-slam-padel,Grand Slam Padel,2026-09-13,Sunday,3,True,48.7,48.7,54.2,39.0,20.0,39.0,20.0,12.0,5.5
padel-king-savoya,Padel King Savoya,2026-09-13,Sunday,6,True,37.5,37.5,10.0,96.0,60.0,96.0,60.0,30.0,27.0
premier-padel-park,Premier Padel Park,2026-09-13,Sunday,4,True,35.2,35.2,37.5,64.0,41.5,64.0,41.5,20.0,12.5
flow-padel-ujpest,Flow Padel Újpest,2026-09-13,Sunday,4,True,29.2,29.2,15.0,60.0,42.5,60.0,42.5,20.0,17.0
panorama-padel-budapest,Panorama Padel Budapest,2026-09-13,Sunday,1,True,29.4,25.0,40.0,17.0,12.0,16.0,12.0,5.0,3.0
buda-padel,BUDAPADEL,2026-09-13,Sunday,4,True,14.1,21.1,27.5,96.0,82.5,64.0,50.5,20.0,14.5
premier-padel-nagyret,Premier Padel Nagyret,2026-09-13,Sunday,4,True,18.8,18.8,22.5,56.0,45.5,56.0,45.5,20.0,15.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-13,Sunday,4,True,18.1,18.1,35.0,58.0,47.5,58.0,47.5,20.0,13.0
zenith-padel-club,Zenith Padel Club,2026-09-13,Sunday,3,True,16.7,17.7,6.7,51.0,42.5,48.0,39.5,15.0,14.0
future-padel-fot,Future Padel Fót,2026-09-13,Sunday,1,True,12.5,12.5,0.0,16.0,14.0,16.0,14.0,5.0,5.0
budapest-padel,Budapest Padel,2026-09-13,Sunday,8,True,12.1,12.1,17.5,120.0,105.5,120.0,105.5,40.0,33.0
padel-garden-budapest,Padel Garden Budapest,2026-09-13,Sunday,3,True,8.6,8.6,6.7,40.5,37.0,40.5,37.0,15.0,14.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-13,Sunday,4,True,5.3,6.2,0.0,76.0,72.0,64.0,60.0,20.0,20.0
duna-padel,DUNA PADEL,2026-09-13,Sunday,4,True,3.9,3.9,0.0,64.0,61.5,64.0,61.5,20.0,20.0
