slug,name,date,weekday,courts,data_ok,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
padel-verzum,Padel Verzum,2026-09-18,Friday,4,True,100.0,100.0,100.0,54.0,0.0,50.0,0.0,20.0,0.0
padel-bros-budapest,Padel Bros Budapest,2026-09-18,Friday,3,True,100.0,100.0,100.0,40.5,0.0,37.5,0.0,15.0,0.0
premier-padel-park,Premier Padel Park,2026-09-18,Friday,4,True,75.0,75.0,77.5,50.0,12.5,50.0,12.5,20.0,4.5
buda-padel,BUDAPADEL,2026-09-18,Friday,4,True,56.5,61.0,85.0,54.0,23.5,50.0,19.5,20.0,3.0
top-padel-club-budapest,Top Padel Club ,2026-09-18,Friday,7,True,54.3,54.3,64.3,87.5,40.0,87.5,40.0,35.0,12.5
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-18,Friday,4,True,41.7,45.0,50.0,54.0,31.5,50.0,27.5,20.0,10.0
flow-padel-ujpest,Flow Padel Újpest,2026-09-18,Friday,4,True,44.6,44.6,50.0,46.0,25.5,46.0,25.5,20.0,10.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-18,Friday,4,True,43.5,43.5,37.5,46.0,26.0,46.0,26.0,20.0,12.5
zenith-padel-club,Zenith Padel Club,2026-09-18,Friday,3,True,37.3,37.3,43.3,37.5,23.5,37.5,23.5,15.0,8.5
duna-padel,DUNA PADEL,2026-09-18,Friday,4,True,37.0,37.0,40.0,50.0,31.5,50.0,31.5,20.0,12.0
budapest-padel,Budapest Padel,2026-09-18,Friday,8,True,28.5,28.5,41.2,100.0,71.5,100.0,71.5,40.0,23.5
padel-garden-budapest,Padel Garden Budapest,2026-09-18,Friday,3,True,26.4,26.4,30.0,36.0,26.5,36.0,26.5,15.0,10.5
premier-padel-nagyret,Premier Padel Nagyret,2026-09-18,Friday,4,True,25.0,25.0,20.0,46.0,34.5,46.0,34.5,20.0,16.0
new-padel-club,New Padel Club,2026-09-18,Friday,2,True,23.1,24.0,20.0,26.0,20.0,25.0,19.0,10.0,8.0
padel-king-savoya,Padel King Savoya,2026-09-18,Friday,6,True,23.3,23.3,35.0,75.0,57.5,75.0,57.5,30.0,19.5
future-padel-fot,Future Padel Fót,2026-09-18,Friday,1,True,16.0,16.0,20.0,12.5,10.5,12.5,10.5,5.0,4.0
grand-slam-padel,Grand Slam Padel,2026-09-18,Friday,3,True,13.0,13.0,13.3,34.5,30.0,34.5,30.0,15.0,13.0
panorama-padel-budapest,Panorama Padel Budapest,2026-09-18,Friday,1,True,12.0,12.0,0.0,12.5,11.0,12.5,11.0,5.0,5.0
musketas-padel,Musketas Padel ,2026-09-18,Friday,2,False,,,,27.0,0.0,25.0,0.0,10.0,0.0
padel-verzum,Padel Verzum,2026-09-19,Saturday,4,True,100.0,100.0,100.0,96.0,0.0,64.0,0.0,20.0,0.0
padel-bros-budapest,Padel Bros Budapest,2026-09-19,Saturday,3,True,95.8,100.0,100.0,72.0,3.0,48.0,0.0,15.0,0.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-19,Saturday,4,True,81.9,81.9,62.5,58.0,10.5,58.0,10.5,20.0,7.5
flow-padel-ujpest,Flow Padel Újpest,2026-09-19,Saturday,4,True,73.3,73.3,75.0,60.0,16.0,60.0,16.0,20.0,5.0
