slug,name,date,weekday,courts,data_ok,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
panorama-padel-budapest,Panorama Padel Budapest,2026-09-12,Saturday,1,True,60.0,60.0,50.0,5.0,2.0,5.0,2.0,4.0,2.0
duna-padel,DUNA PADEL,2026-09-12,Saturday,4,True,50.0,50.0,61.1,22.0,11.0,22.0,11.0,18.0,7.0
premier-padel-park,Premier Padel Park,2026-09-12,Saturday,4,True,47.7,47.7,58.3,22.0,11.5,22.0,11.5,18.0,7.5
new-padel-club,New Padel Club,2026-09-12,Saturday,2,True,33.3,36.4,44.4,12.0,8.0,11.0,7.0,9.0,5.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-12,Saturday,4,True,36.1,36.1,36.1,18.0,11.5,18.0,11.5,18.0,11.5
padel-garden-budapest,Padel Garden Budapest,2026-09-12,Saturday,3,True,30.0,30.0,33.3,15.0,10.5,15.0,10.5,13.5,9.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-12,Saturday,4,True,28.8,29.5,36.1,26.0,18.5,22.0,15.5,18.0,11.5
flow-padel-ujpest,Flow Padel Újpest,2026-09-12,Saturday,4,True,25.0,25.0,25.0,18.0,13.5,18.0,13.5,18.0,13.5
future-padel-fot,Future Padel Fót,2026-09-12,Saturday,1,True,20.0,20.0,0.0,5.0,4.0,5.0,4.0,4.0,4.0
zenith-padel-club,Zenith Padel Club,2026-09-12,Saturday,3,True,18.2,18.2,22.2,16.5,13.5,16.5,13.5,13.5,10.5
grand-slam-padel,Grand Slam Padel,2026-09-12,Saturday,3,True,11.1,11.1,11.1,13.5,12.0,13.5,12.0,13.5,12.0
premier-padel-nagyret,Premier Padel Nagyret,2026-09-12,Saturday,4,True,5.6,5.6,5.6,18.0,17.0,18.0,17.0,18.0,17.0
musketas-padel,Musketas Padel ,2026-09-12,Saturday,2,False,,,,13.0,0.0,11.0,0.0,9.0,0.0
padel-bros-budapest,Padel Bros Budapest,2026-09-12,Saturday,3,False,,,,19.5,0.0,16.5,0.0,13.5,0.0
top-padel-club-budapest,Top Padel Club ,2026-09-13,Sunday,7,True,100.0,100.0,100.0,98.0,0.0,98.0,0.0,35.0,0.0
premier-padel-park,Premier Padel Park,2026-09-13,Sunday,4,True,60.2,60.2,55.0,64.0,25.5,64.0,25.5,20.0,9.0
flow-padel-ujpest,Flow Padel Újpest,2026-09-13,Sunday,4,True,44.2,44.2,20.0,60.0,33.5,60.0,33.5,20.0,16.0
padel-king-savoya,Padel King Savoya,2026-09-13,Sunday,6,True,41.7,41.7,15.0,96.0,56.0,96.0,56.0,30.0,25.5
premier-padel-nagyret,Premier Padel Nagyret,2026-09-13,Sunday,4,True,39.3,39.3,47.5,56.0,34.0,56.0,34.0,20.0,10.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-13,Sunday,4,True,38.8,38.8,35.0,58.0,35.5,58.0,35.5,20.0,13.0
buda-padel,BUDAPADEL,2026-09-13,Sunday,4,True,22.4,33.6,32.5,96.0,74.5,64.0,42.5,20.0,13.5
future-padel-fot,Future Padel Fót,2026-09-13,Sunday,1,True,28.1,28.1,0.0,16.0,11.5,16.0,11.5,5.0,5.0
grand-slam-padel,Grand Slam Padel,2026-09-13,Sunday,3,True,25.6,25.6,45.8,39.0,29.0,39.0,29.0,12.0,6.5
new-padel-club,New Padel Club,2026-09-13,Sunday,2,True,17.0,25.0,15.0,47.0,39.0,32.0,24.0,10.0,8.5
panorama-padel-budapest,Panorama Padel Budapest,2026-09-13,Sunday,1,True,29.4,25.0,40.0,17.0,12.0,16.0,12.0,5.0,3.0
zenith-padel-club,Zenith Padel Club,2026-09-13,Sunday,3,True,20.6,21.9,20.0,51.0,40.5,48.0,37.5,15.0,12.0
padel-garden-budapest,Padel Garden Budapest,2026-09-13,Sunday,3,True,17.3,17.3,6.7,40.5,33.5,40.5,33.5,15.0,14.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-13,Sunday,4,True,13.8,16.4,7.5,76.0,65.5,64.0,53.5,20.0,18.5
budapest-padel,Budapest Padel,2026-09-13,Sunday,8,True,15.8,15.8,22.5,120.0,101.0,120.0,101.0,40.0,31.0
duna-padel,DUNA PADEL,2026-09-13,Sunday,4,True,13.3,13.3,10.0,64.0,55.5,64.0,55.5,20.0,18.0
musketas-padel,Musketas Padel ,2026-09-13,Sunday,2,False,,,,48.0,0.0,32.0,0.0,10.0,0.0
