slug,name,date,weekday,courts,data_ok,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
premier-padel-park,Premier Padel Park,2026-09-02,Wednesday,4,True,87.0,87.0,100.0,50.0,6.5,50.0,6.5,20.0,0.0
buda-padel,BUDAPADEL,2026-09-02,Wednesday,4,True,69.4,75.0,95.0,54.0,16.5,50.0,12.5,20.0,1.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-02,Wednesday,4,True,58.7,58.7,100.0,46.0,19.0,46.0,19.0,20.0,0.0
flow-padel-ujpest,Flow Padel Újpest,2026-09-02,Wednesday,4,True,56.5,56.5,90.0,46.0,20.0,46.0,20.0,20.0,2.0
padel-garden-budapest,Padel Garden Budapest,2026-09-02,Wednesday,3,True,54.2,54.2,90.0,36.0,16.5,36.0,16.5,15.0,1.5
duna-padel,DUNA PADEL,2026-09-02,Wednesday,4,True,53.0,53.0,80.0,50.0,23.5,50.0,23.5,20.0,4.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-02,Wednesday,4,True,49.1,53.0,65.0,54.0,27.5,50.0,23.5,20.0,7.0
budapest-padel,Budapest Padel,2026-09-02,Wednesday,8,True,51.0,51.0,90.0,100.0,49.0,100.0,49.0,40.0,4.0
grand-slam-padel,Grand Slam Padel,2026-09-02,Wednesday,3,True,49.3,49.3,90.0,34.5,17.5,34.5,17.5,15.0,1.5
zenith-padel-club,Zenith Padel Club,2026-09-02,Wednesday,3,True,49.3,49.3,90.0,37.5,19.0,37.5,19.0,15.0,1.5
premier-padel-nagyret,Premier Padel Nagyret,2026-09-02,Wednesday,4,True,43.5,43.5,77.5,46.0,26.0,46.0,26.0,20.0,4.5
padel-king-savoya,Padel King Savoya,2026-09-02,Wednesday,6,True,41.3,41.3,65.0,75.0,44.0,75.0,44.0,30.0,10.5
future-padel-fot,Future Padel Fót,2026-09-02,Wednesday,1,True,40.0,40.0,80.0,12.5,7.5,12.5,7.5,5.0,1.0
new-padel-club,New Padel Club,2026-09-02,Wednesday,2,True,38.5,40.0,80.0,26.0,16.0,25.0,15.0,10.0,2.0
panorama-padel-budapest,Panorama Padel Budapest,2026-09-02,Wednesday,1,True,24.0,24.0,40.0,12.5,9.5,12.5,9.5,5.0,3.0
top-padel-club-budapest,Top Padel Club ,2026-09-02,Wednesday,7,False,,,,87.5,0.0,87.5,0.0,35.0,0.0
musketas-padel,Musketas Padel ,2026-09-02,Wednesday,2,False,,,,27.0,0.0,25.0,0.0,10.0,0.0
premier-padel-park,Premier Padel Park,2026-09-03,Thursday,4,True,78.1,78.1,92.5,64.0,14.0,64.0,14.0,20.0,1.5
buda-padel,BUDAPADEL,2026-09-03,Thursday,4,True,28.1,42.2,92.5,96.0,69.0,64.0,37.0,20.0,1.5
padel-garden-budapest,Padel Garden Budapest,2026-09-03,Thursday,3,True,39.5,39.5,63.3,40.5,24.5,40.5,24.5,15.0,5.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-03,Thursday,4,True,39.2,39.2,80.0,60.0,36.5,60.0,36.5,20.0,4.0
flow-padel-ujpest,Flow Padel Újpest,2026-09-03,Thursday,4,True,37.5,37.5,50.0,60.0,37.5,60.0,37.5,20.0,10.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-03,Thursday,4,True,31.6,37.5,65.0,76.0,52.0,64.0,40.0,20.0,7.0
premier-padel-nagyret,Premier Padel Nagyret,2026-09-03,Thursday,4,True,32.1,32.1,62.5,56.0,38.0,56.0,38.0,20.0,7.5
budapest-padel,Budapest Padel,2026-09-03,Thursday,8,True,28.7,28.7,61.3,120.0,85.5,120.0,85.5,40.0,15.5
padel-king-savoya,Padel King Savoya,2026-09-03,Thursday,6,True,26.0,26.0,46.7,96.0,71.0,96.0,71.0,30.0,16.0
future-padel-fot,Future Padel Fót,2026-09-03,Thursday,1,True,18.8,18.8,40.0,16.0,13.0,16.0,13.0,5.0,3.0
new-padel-club,New Padel Club,2026-09-03,Thursday,2,True,12.8,18.8,50.0,47.0,41.0,32.0,26.0,10.0,5.0
duna-padel,DUNA PADEL,2026-09-03,Thursday,4,True,13.3,13.3,25.0,64.0,55.5,64.0,55.5,20.0,15.0
panorama-padel-budapest,Panorama Padel Budapest,2026-09-03,Thursday,1,True,17.6,12.5,0.0,17.0,14.0,16.0,14.0,5.0,5.0
zenith-padel-club,Zenith Padel Club,2026-09-03,Thursday,3,True,9.8,10.4,13.3,51.0,46.0,48.0,43.0,15.0,13.0
grand-slam-padel,Grand Slam Padel,2026-09-03,Thursday,3,True,9.5,9.5,13.3,42.0,38.0,42.0,38.0,15.0,13.0
top-padel-club-budapest,Top Padel Club ,2026-09-03,Thursday,7,False,,,,112.0,0.0,112.0,0.0,35.0,0.0
musketas-padel,Musketas Padel ,2026-09-03,Thursday,2,False,,,,48.0,0.0,32.0,0.0,10.0,0.0
premier-padel-park,Premier Padel Park,2026-09-04,Friday,4,True,65.6,65.6,77.5,64.0,22.0,64.0,22.0,20.0,4.5
