slug,name,date,weekday,courts,data_ok,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
premier-padel-park,Premier Padel Park,2026-09-23,Wednesday,4,True,71.0,71.0,92.5,50.0,14.5,50.0,14.5,20.0,1.5
zenith-padel-club,Zenith Padel Club,2026-09-23,Wednesday,3,True,70.7,70.7,93.3,37.5,11.0,37.5,11.0,15.0,1.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-23,Wednesday,4,True,59.8,59.8,95.0,46.0,18.5,46.0,18.5,20.0,1.0
top-padel-club-budapest,Top Padel Club ,2026-09-23,Wednesday,7,True,59.4,59.4,81.4,87.5,35.5,87.5,35.5,35.0,6.5
flow-padel-ujpest,Flow Padel Újpest,2026-09-23,Wednesday,4,True,55.4,55.4,72.5,46.0,20.5,46.0,20.5,20.0,5.5
budapest-padel,Budapest Padel,2026-09-23,Wednesday,8,True,49.0,49.0,86.2,100.0,51.0,100.0,51.0,40.0,5.5
premier-padel-nagyret,Premier Padel Nagyret,2026-09-23,Wednesday,4,True,47.8,47.8,60.0,46.0,24.0,46.0,24.0,20.0,8.0
padel-garden-budapest,Padel Garden Budapest,2026-09-23,Wednesday,3,True,47.2,47.2,80.0,36.0,19.0,36.0,19.0,15.0,3.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-23,Wednesday,4,True,44.4,46.0,72.5,54.0,30.0,50.0,27.0,20.0,5.5
buda-padel,BUDAPADEL,2026-09-23,Wednesday,4,True,41.7,45.0,97.5,54.0,31.5,50.0,27.5,20.0,0.5
duna-padel,DUNA PADEL,2026-09-23,Wednesday,4,True,42.0,42.0,82.5,50.0,29.0,50.0,29.0,20.0,3.5
padel-king-savoya,Padel King Savoya,2026-09-23,Wednesday,6,True,40.7,40.7,68.3,75.0,44.5,75.0,44.5,30.0,9.5
grand-slam-padel,Grand Slam Padel,2026-09-23,Wednesday,3,True,40.6,40.6,66.7,34.5,20.5,34.5,20.5,15.0,5.0
